City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
503,Tambopata,-12.7333,-69.1833,89.49,58,40,6.91,PE,1672247148
504,Kaeo,-35.1,173.7833,63.43,84,67,5.91,NZ,1672247149
505,Robertsport,6.7533,-11.3686,82.29,73,1,13.42,LR,1672247149
506,Grand Forks,47.9417,-97.4337,24.78,80,40,9.22,US,1672247150
507,Salgado,-11.0319,-37.475,83.1,50,79,10.31,BR,1672247150
508,Yumen,40.2833,97.2,16.07,50,35,5.7,CN,1672247150
509,San Francisco del Mar Viejo,16.2333,-94.65,77.88,59,70,17.13,MX,1672247150
510,Bangangté,5.1409,10.5198,72.41,29,71,2.73,CM,1672247151
511,Daşoguz,41.8363,59.9666,35.33,64,100,2.08,TM,1672247151
512,Tula,54.2044,37.6111,26.46,92,100,10.51,RU,1672246896
513,Kolondiéba,11.0882,-6.8926,93.69,12,2,5.97,ML,1672246991
514,San Jerónimo,-11.9472,-75.2829,63.66,41,55,2.04,PE,1672247152
515,Churapcha,62.0025,132.4325,-32.89,99,97,3.98,RU,1672246930
516,Yatou,37.15,122.3833,24.48,75,6,7.11,CN,1672247153
517,Heihe,50.2441,127.4902,3.78,95,94,5.55,CN,1672247154
518,Lukovetskiy,64.2956,41.9211,15.04,93,100,8.81,RU,1672247154
519,Saldanha,-33.0117,17.9442,66.31,77,2,15.43,ZA,1672246904
520,Faanui,-16.4833,-151.75,80.83,73,10,15.35,PF,1672247155
521,Atambua,-9.1061,124.8925,71.83,93,100,4.9,ID,1672247155
522,Tutóia,-2.7619,-42.2744,85.35,65,23,14.99,BR,1672247156
523,Iqaluit,63.7506,-68.5145,-5.22,89,34,2.66,CA,1672247156
524,Maragogi,-9.0122,-35.2225,81.64,72,20,12.08,BR,1672247156
525,Tiznit Province,29.5833,-9.5,68.81,24,100,2.68,MA,1672247157
526,Fairbanks,64.8378,-147.7164,3.2,78,100,0.0,US,1672247158
527,Porbandar,21.6422,69.6093,74.37,36,4,6.2,IN,1672246933
528,Gengenbach,48.4,8.0167,51.57,51,97,12.66,DE,1672247158
529,Maţāy,28.419,30.7792,59.45,48,0,8.68,EG,1672247158
530,Emerald,-23.5333,148.1667,67.33,74,16,9.64,AU,1672247159
531,Curup,-3.4667,102.5333,66.07,97,100,1.41,ID,1672247159
532,Dubbo,-32.25,148.6167,62.73,72,29,3.44,AU,1672247159
533,Ratnagiri,16.9833,73.3,76.71,73,3,9.22,IN,1672247076
534,Calhoun,42.2506,-85.0005,38.82,51,0,10.36,US,1672247160
535,Eyl,7.9803,49.8164,76.19,70,49,17.94,SO,1672247160
536,Panlaitan,12.1191,119.8486,80.26,72,100,6.38,PH,1672247160
537,Udarnyy,54.3409,42.8611,24.3,96,100,5.79,RU,1672247161
538,Bonavista,48.6499,-53.1147,25.0,61,68,21.43,CA,1672247161
539,Necochea,-38.5473,-58.7368,67.59,39,2,13.71,AR,1672246957
